Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Direction
ychQ,b1213,1266924,1267316,SirB family protein YchQ,+
ymfE,b1138,1197533,1198237,e14 prophage; uncharacterized protein YmfE,-
atoD,b2221,2323447,2324109,acetyl-CoA:acetoacetyl-CoA transferase subunit &alpha;,+
yhcE,b4569,,,putative uncharacterized protein YhcE,+
codA,b0337,356171,357454,cytosine/isoguanine deaminase,+
yebY,b1839,1923365,1923706,DUF2511 domain-containing protein YebY,-
dnaK,b0014,12163,14079,chaperone protein DnaK,+
ykgA,b0300,316450,317136,putative DNA-binding transcriptional regulator YkgA,-
cvrA,b1191,1240335,1242071,putative K<sup>+</sup>:H<sup>+</sup> antiporter,-
yhjJ,b3527,3680444,3681940,peptidase M16 family protein YhjJ,-
yriA,b4791,3640612,3640686,protein YriA,-
btsR,b2125,2212243,2212962,Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional dual regulator BtsR,-
mdtA,b2074,2154016,2155263,multidrug efflux pump membrane fusion protein MdtA,+
arnC,b2254,2367071,2368039,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,+
bluF,b1163,1214264,1215475,blue light- and temperature-regulated antirepressor BluF,-
zur,b4046,4259488,4260003,DNA-binding transcriptional repressor Zur,-
yagF,b0269,283201,285168,CP4-6 prophage; D-xylonate dehydratase,+
yohF,b2137,2226509,2227270,putative oxidoreductase YohF,-
yccX,b0968,1030064,1030342,acylphosphatase,+
lysT,b0743,780554,780629,tRNA-Lys(UUU),+
dosP,b1489,1563334,1565733,oxygen-sensing c-di-GMP phosphodiesterase DosP,-
ybcN,b0547,572466,572921,DLP12 prophage; DNA base-flipping protein,+
ygiA,b3036,3179596,3179856,,+
ybiB,b0800,835248,836210,nonspecific DNA-binding protein YbiB,+
mhpT,b0353,375459,376670,3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter,+
lomR,b4570,,,Rac prophage; protein LomR_1,+
upp,b2498,2620246,2620872,uracil phosphoribosyltransferase,-
mltF,b2558,2695801,2697357,membrane-bound lytic murein transglycosylase F,+
yqiJ,b3050,3192208,3192837,DUF1449 domain-containing inner membrane protein YqiJ,+
lplA,b4386,4623101,4624117,lipoate&mdash;protein ligase A,-
gatR,b4498,,,"DNA-binding transcriptional repressor GatR, N-terminal fragment",-
ygjI,b3078,3226234,3227667,putative transporter YgjI,+
waaZ,b3624,3799345,3800196,lipopolysaccharide core biosynthesis protein WaaZ,-
bamA,b0177,197928,200360,outer membrane protein assembly factor BamA,+
pyrC,b1062,1121561,1122607,dihydroorotase,-
rraA,b3929,4118845,4119330,ribonuclease E inhibitor protein A,-
fimB,b4312,4540957,4541559,Type 1 fimbriae regulatory protein FimB,+
ptsI,b2416,2534066,2535793,PTS enzyme I,+
ybhH,b0769,800759,801811,putative isomerase YbhH,+
insH1,b0259,274101,275081,CP4-6 prophage; IS<i>5</i> transposase and trans-activator,-
fadB,b3846,4028782,4030971,"multifunctional enoyl-CoA hydratase, 3-hydroxyacyl-CoA epimerase, &Delta;<sup>3</sup>-<i>cis</i>- &Delta;<sup>2</sup>-<i>trans</i>-enoyl-CoA isomerase, L-3-hydroxyacyl-CoA dehydrogenase",-
yhiS,b3504,,,putative uncharacterized protein YhiS,+
mtn,b0159,178455,179153,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,-
ydbL,b1383,1445880,1446206,DUF1318 domain-containing protein YdbL,+
zapE,b3232,3378870,3379997,cell division protein ZapE,-
yafC,b0208,229967,230881,DNA-binding transcriptional regulator YafC,-
ttdT,b3063,3208024,3209487,L-tartrate:succinate antiporter,+
yncP,b4774,1491876,1491944,protein YncP,+
insAB5,,1978518,1979215,InsAB' transposase,-
ygiV,b3023,3168749,3169231,DNA-binding transcriptional repressor YgiV,-
dsbD,b4136,4363345,4365042,thiol-disulfide exchange protein DsbD,-
kbaY,b3137,3283143,3284003,"tagatose-1,6-bisphosphate aldolase 1",+
yfbV,b2295,2412677,2413132,PF04217 family membrane protein YfbV,-
gcvB,b4443,2942696,2942901,small regulatory RNA GcvB,+
pagP,b0622,656557,657117,Lipid A palmitoyltransferase,+
yhgH,b3413,3544882,3545565,DNA utilization protein YhgH,+
ybaV,b0442,463937,464308,helix-hairpin-helix 3 family protein,+
glyW,b1911,1992042,1992117,tRNA-Gly(GCC),-
uspA,b3495,3640111,3640545,universal stress protein A,+
intA,b2622,2756159,2757400,CP4-57 prophage; integrase IntA,+
yodC,b1957,2028188,2028370,protein YodC,-
dapE,b2472,2591607,2592734,succinyl-diaminopimelate desuccinylase,+
ygeO,b2859,2995962,2996360,putative uncharacterized protein YgeO,-
ndk,b2518,2644433,2644864,nucleoside diphosphate kinase,-
degP,b0161,180884,182308,periplasmic serine endoprotease DegP,+
ychN,b1219,1273246,1273599,DsrE/F sulfur relay family protein YchN,-
ihfB,b0912,963828,964112,integration host factor subunit &beta;,+
ghxP,b4064,4278479,4279828,guanine/hypoxanthine transporter GhxP,+
waaP,b3630,3805153,3805950,lipopolysaccharide core heptose (I) kinase,-
secG,b3175,3322173,3322505,Sec translocon subunit SecG,-
pyrI,b4244,4470986,4471447,"aspartate carbamoyltransferase, PyrI subunit",-
fimE,b4313,4542037,4542633,regulator for fimA,+
manY,b1818,1903082,1903882,mannose-specific PTS enzyme IIC component,+
hokE,b4415,607836,607988,protein HokE,+
intD,b0537,564815,565978,DLP12 prophage; putative integrase,-
dapA,b2478,2598882,2599760,4-hydroxy-tetrahydrodipicolinate synthase,-
ybcY,b0562,582152,582806,DLP12 prophage; putative SAM-dependent methyltransferase YbcY,-
apt,b0469,491412,491963,adenine phosphoribosyltransferase,+
ybdN,b0602,635349,636569,putative PAPS reductase/DUF3440 domain-containing protein YbdN,-
nlpI,b3163,3308040,3308924,lipoprotein NlpI,-
deoR,b0840,881976,882734,DNA-binding transcriptional repressor DeoR,-
yebC,b1864,1947411,1948151,putative transcriptional regulator YebC,-
emrD,b3673,3853922,3855106,multidrug efflux pump EmrD,+
sutR,b1434,1506172,1506708,DNA-binding transcriptional dual regulator SutR,+
ydeA,b1528,1617028,1618218,L-arabinose exporter,+
ygcW,b2774,2899488,2900273,putative deoxygluconate dehydrogenase,-
ynfR,b4749,1638188,1638253,Qin prophage; protein YnfR,-
sgbE,b3583,3750086,3750781,L-ribulose-5-phosphate 4-epimerase SgbE,+
lpxB,b0182,203348,204496,lipid A disaccharide synthase,+
hofO,b3393,3521009,3521449,DNA utilization protein HofO,-
ytgB,b4822,4486043,4486099,protein YtgB,+
asnU,b1986,2059851,2059926,tRNA-Asn(GUU),+
bhsA,b1112,1169073,1169330,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,+
ypjK,b2635,2770445,2770681,CP4-57 prophage; uncharacterized protein YpjK,+
b0701,b0701,733370,733591,,+
ppdC,b2823,2962441,2962764,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,-
lysP,b2156,2247063,2248532,lysine:H+ symporter,-
yejO,b2190,,,adhesin-like autotransporter YejO,-
xapA,b2407,2524045,2524878,xanthosine phosphorylase,-
clpS,b0881,922913,923233,specificity factor for ClpA-ClpP chaperone-protease complex,+
ygeY,b2872,3008764,3009975,putative peptidase YgeY,+
alaC,b2379,2497057,2498295,glutamate&mdash;pyruvate aminotransferase AlaC,-
sgrR,b0069,75644,77299,DNA-binding transcriptional dual regulator SgrR,-
kdsD,b3197,3341266,3342252,D-arabinose 5-phosphate isomerase KdsD,+
yggU,b2953,3096383,3096673,DUF167 domain-containing protein YggU,+
rhtB,b3824,4008439,4009059,L-homoserine/L-homoserine lactone/L-threonine exporter,-
yjjP,b4364,4602088,4602858,putative succinate exporter YjjP,-
pyrD,b0945,1004768,1005778,"dihydroorotate dehydrogenase, type 2",+
lacY,b0343,361926,363179,lactose permease,-
naRNA4,,4326005,4326081,naRNA4,-
yffO,b2446,2562111,2562527,CPZ-55 prophage; uncharacterized protein YffO,+
lysR,b2839,2979021,2979956,DNA-binding transcriptional dual regulator LysR,+
ygaY,b2681,2808316,2809493,"putative transporter YgaY, N-terminal fragment",+
adk,b0474,497175,497819,adenylate kinase,+
yhfG,b3362,3491453,3491620,DUF2559 domain-containing protein YhfG,-
yihA,b3865,4050133,4050765,GTP-binding protein YihA,-
alr,b4053,4265782,4266861,alanine racemase 1,+
nikR,b3481,3618588,3618989,DNA-binding transcriptional repressor NikR,+
rhsB,b3482,3619192,3623427,rhs element protein RhsB,+
xanP,b3654,3828945,3830336,xanthine:H+ symporter XanP,+
insB6,b3445,3583677,3584180,IS1 protein InsB,+
ssrS,b2911,3055983,3056165,6S RNA,+
yiaA,b3562,3726924,3727361,PF05360 family inner membrane protein YiaA,-
ykiD,b4732,408947,409030,protein YkiD,+
clcA,b0155,175107,176528,chloride:H<sup>+</sup> antiporter ClcA,+
mtlR,b3601,3775572,3776159,transcriptional repressor MtlR,+
eutD,b2458,2572489,2573505,phosphate acetyltransferase EutD,-
esrE,b4707,4019978,4020229,small RNA EsrE,+
alaV,b0203,225500,225575,tRNA-Ala(UGC),+
iraP,b0382,401386,401646,anti-adaptor protein IraP,+
yfdG,b2350,2467855,2468217,CPS-53 (KpLE1) prophage; putative bactoprenol-linked glucose translocase,+
yniB,b1726,1808697,1809233,uncharacterized protein YniB,-
dapF,b3809,3994762,3995586,diaminopimelate epimerase,+
yaiX,b4579,,,"putative acyltransferase, N-terminal fragment",-
hpt,b0125,141431,141967,hypoxanthine phosphoribosyltransferase,+
ptrB,b1845,1926779,1928839,oligopeptidase B,-
yccE,b1001,1064036,1065292,uncharacterized protein YccE,+
alaB,,,,glutamate&mdash;pyruvate aminotransferase AlaB,
crp,b3357,3486120,3486752,DNA-binding transcriptional dual regulator CRP,+
gutQ,b2708,2829813,2830778,D-arabinose 5-phosphate isomerase GutQ,+
ygcN,b2766,2892657,2893928,putative oxidoreductase with FAD/NAD(P)-binding domain,+
nhaA,b0019,17489,18655,Na<sup>+</sup>:H<sup>+</sup> antiporter NhaA,+
cusC,b0572,595600,596973,copper/silver export system outer membrane channel,+
yfbR,b2291,2408862,2409461,dCMP phosphohydrolase,+
fucO,b2799,2931865,2933013,"L-1,2-propanediol oxidoreductase",-
yeiW,b4502,2265041,2265295,putative metal-chelating domain-containing protein YeiW,-
ydfU,b1560,1643255,1644304,Qin prophage; protein YdfU,-
dapB,b0031,28374,29195,4-hydroxy-tetrahydrodipicolinate reductase,+
yneO,b4696,1592665,1598086,AIDA-I family autotransporter YneO,-
dut,b3640,3813929,3814387,dUTP diphosphatase,+
yidH,b3676,3855960,3856307,DUF202 domain-containing inner membrane protein YidH,-
lnt,b0657,689343,690881,apolipoprotein <i>N</i>-acyltransferase,-
avtA,b3572,3739705,3740958,valine&mdash;pyruvate aminotransferase,+
minE,b1174,1224279,1224545,Z-ring positioning protein MinE,-
yciT,b1284,1343597,1344346,DNA-binding transcriptional dual regulator YciT,-
yfeK,b2419,2537342,2537716,DUF5329 domain-containing protein YfeK,+
betT,b0314,329463,331496,choline:H+ symporter,+
maoP,b3764,3948086,3948424,macrodomain Ori protein,+
yfjD,b4461,2748774,2750060,UPF0053 family inner membrane protein YfjD,+
yehQ,b2122,2209100,2210944,SWIM zinc finger domains-containing protein YehQ,+
yjeV,b4670,4392892,4392945,uncharacterized protein YjeV,+
yihT,b3881,4071773,4072651,6-deoxy-6-sulfofructose-1-phosphate aldolase,-
aqpZ,b0875,915352,916047,water channel AqpZ,-
hofQ,b3391,3519465,3520703,DNA utilization protein HofQ,-
yggM,b2956,3098558,3099565,DUF1202 domain-containing protein YggM,-
valV,b1665,1746435,1746511,tRNA-Val(GAC),+
uspG,b0607,641439,641867,universal stress protein G,-
tfaR,b1373,1432411,1432986,Rac prophage; putative tail fiber assembly protein TfaR,+
b1367,b1367,1426055,1426288,,+
yddL,b1472,1545738,1546028,putative uncharacterized protein YddL,-
lysA,b2838,2977637,2978899,diaminopimelate decarboxylase,-
ilvG,b4488,3950560,3952204,acetolactate synthase II subunit IlvG,+
rihB,b2162,2254245,2255186,pyrimidine-specific ribonucleoside hydrolase RihB,-
mltD,b0211,232597,233955,membrane-bound lytic murein transglycosylase D,-
ybaY,b0453,475379,475951,PF09619 family lipoprotein YbaY,+
yqaA,b2689,2816512,2816940,DedA family protein YqaA,-
alaA,b2290,2407561,2408778,glutamate&mdash;pyruvate aminotransferase AlaA,+
gntR,b3438,3577731,3578726,DNA-binding transcriptional repressor GntR,-
gmhA,b0222,243543,244121,D-sedoheptulose 7-phosphate isomerase,+
yeeJ,b1978,2044938,2052014,inverse autotransporter adhesin,+
hcaT,b2536,2666707,2667846,putative 3-phenylpropionate transporter,-
yhaI,b3104,3252911,3253267,putative inner membrane protein,+
pyrL,b4246,4472399,4472533,<i>pyrBI</i> operon leader peptide,-
chbB,b1738,1821299,1821619,"<I>N,N'</I>-diacetylchitobiose-specific PTS enzyme IIB component",-
yiaL,b3576,3743743,3744210,DUF386 domain-containing protein YiaL,+
tfaP,b1155,1208132,1208545,e14 prophage; putative tail fiber assembly protein TfaP,+
dapD,b0166,185123,185947,tetrahydrodipicolinate succinylase,-
yfaS,b4500,2329798,2334402,"putative macroglobulin family protein, N-terminal fragment",-
pyrG,b2780,2908029,2909666,CTP synthetase,-
luxS,b2687,2814218,2814733,<i>S</i>-ribosylhomocysteine lyase,-
yqeJ,b2848,2989304,2989786,protein YqeJ,+
dacA,b0632,662752,663963,D-alanyl-D-alanine carboxypeptidase DacA,-
marA,b1531,1619574,1619957,DNA-binding transcriptional dual regulator MarA,+
yeaQ,b1795,1879007,1879255,PF04226 family protein YeaQ,-
ydiN,b1691,1772512,1773777,putative transporter YdiN,+
insA5,b1894,1978940,1979215,IS1 protein InsA,-
ygaV,b2667,2797211,2797510,putative DNA-binding transcriptional regulator YgaV,+
bamD,b2595,2736146,2736883,outer membrane protein assembly factor BamD,+
yahH,b0322,339769,340089,putative uncharacterized protein YahH,+
yoaL,b4751,1901573,1901731,protein YoaL,-
galU,b1236,1291457,1292365,UTP&mdash;glucose-1-phosphate uridylyltransferase,+
glpF,b3927,4117245,4118090,glycerol facilitator,-
deoD,b4384,4620883,4621602,purine nucleoside phosphorylase,+
yejL,b2187,2284129,2284356,DUF1414 domain-containing protein YejL,+
selC,b3658,3836222,3836316,tRNA-Sec(UCA),+
rapA,b0059,60358,63264,RNA polymerase-binding ATPase and RNAP recycling factor,-
tfaX,b0563,582875,583060,DLP12 prophage; protein TfaX,+
ychS,b1228,1286709,1286984,putative uncharacterized protein YchS,+
insB7,b4576,4518721,4519224,,+
udk,b2066,2142307,2142948,uridine/cytidine kinase,-
degQ,b3234,3380743,3382110,periplasmic serine endoprotease,+
bioP,b3827,4011076,4011975,biotin transporter,+
yjbL,b4047,4260321,4260575,uncharacterized protein YjbL,+
fur,b0683,710200,710646,DNA-binding transcriptional dual regulator Fur,-
gmhB,b0200,222833,223408,"D-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose-1,7-bisphosphate 7-phosphatase",+
ydgK,b1626,1705250,1705690,DUF2569 domain-containing inner membrane protein YdgK,+
rutG,b1006,1068511,1069839,pyrimidine:H<sup>+</sup> symporter,-
ompA,b0957,1019013,1020053,outer membrane protein A,-
pyrE,b3642,3815127,3815768,orotate phosphoribosyltransferase,-
pdeH,b3525,3678420,3679187,c-di-GMP phosphodiesterase PdeH,-
aldA,b1415,1488232,1489671,aldehyde dehydrogenase A,+
yjaH,b4001,4200566,4201261,DUF1481 domain-containing protein YjaH,+
ybcK,b0544,568902,570428,DLP12 prophage; putative recombinase YbcK,+
rpnD,b4584,4568998,4569918,putative inactive recombination-promoting nuclease-like protein RpnD,+
deoA,b4382,4618229,4619551,thymidine phosphorylase,+
tamA,b4220,4442382,4444115,translocation and assembly module subunit TamA,+
yoaF,b1793,1877278,1877532,DUF333 domain-containing lipoprotein YoaF,-
amiC,b2817,2947757,2949010,<i>N</i>-acetylmuramoyl-L-alanine amidase C,-
birA,b3973,4173082,4174047,DNA-binding transcriptional repressor/biotin-[acetyl-CoA-carboxylase] ligase BirA,+
yceM,b1068,1126806,1127729,putative oxidoreductase YceM,+
dgoT,b3691,3870438,3871730,D-galactonate:H<sup>+</sup> symporter,-
yfeN,b2408,2525127,2525891,putative outer membrane porin YfeN,+
comR,b1111,1168200,1168832,DNA-binding transcriptional repressor ComR,-
csgF,b1038,1101711,1102127,curli assembly component CsgF,-
bdcA,b4249,4473340,4474053,c-di-GMP-binding biofilm dispersal mediator protein,-
uxaC,b3092,3243329,3244741,D-glucoronate/D-galacturonate isomerase,-
lsrF,b1517,1606100,1606975,"3-hydroxy-2,4-pentadione 5-phosphate thiolase",+
kch,b1250,1309016,1310269,K<sup>+</sup> channel Kch,-
yhhX,b3440,3579768,3580805,putative oxidoreductase YhhX,-
yieH,b3715,3896774,3897439,6-phosphogluconate phosphatase,+
leuW,b0672,696963,697047,tRNA-Leu(UAG),-
igaA,b3398,3526469,3528604,inner membrane protein IgaA,+
yafZ,b0252,267184,268005,CP4-6 prophage; DUF932 domain-containing protein YafZ,-
yccU,b0965,1027946,1028359,putative HspQ acetyl donor,+
tisA,b4617,3853443,3853556,,+
yedS,b4496,2034051,2035243,"putative outer membrane protein YedS, N-terminal fragment",+
dcd,b2065,2141634,2142215,dCTP deaminase,-
sapC,b1292,1353628,1354518,putrescine ABC exporter membrane protein SapC,-
zupT,b3040,3182550,3183323,divalent metal ion transporter ZupT,+
yfdF,b2345,2463012,2464070,protein YfdF,+
sgcR,b4300,4526106,4526888,KpLE2 phage-like element; putative DNA-binding transcriptional regulator SgcR,-
dgcI,b0834,875335,876663,putative diguanylate cyclase DgcI,+
ybaL,b0478,501562,503238,putative transporter YbaL,-
waaU,b3623,3798239,3799312,putative ADP-heptose:LPS heptosyltransferase 4,-
opgE,b0815,851014,852597,phosphoethanolamine transferase OpgE,-
tdcD,b3115,3262452,3263660,propionate kinase,-
yjdM,b4108,4326399,4326734,zinc ribbon domain-containing protein YjdM,-
nanQ,b3221,3369014,3369478,<i>N</i>-acetylneuraminate anomerase,-
eutP,b2461,2574978,2575457,putative ethanolamine utilization acetate kinase EutP,-
ydcC,b1460,1531816,1532952,H repeat-associated putative transposase YdcC,+
nohD,b0560,580834,581379,DLP12 prophage; putative DNA-packaging protein NohD,+
insX,b4505,280114,280362,,-
gsk,b0477,500125,501429,inosine/guanosine kinase,+
yciU,b1248,1306821,1307150,DUF440 domain-containing protein YciU,-
tamB,b4221,4444112,4447891,translocation and assembly module subunit TamB,+
ftsL,b0083,91032,91397,cell division protein FtsL,+
rcnR,b2105,2185524,2185796,DNA-binding transcriptional repressor RcnR,-
rnt,b1652,1728347,1728994,ribonuclease T,+
ybdF,b0579,605518,605886,PF04237 family protein YbdF,-
cusA,b0575,598714,601857,copper/silver export system RND permease,+
insA1,b0022,20233,20508,IS1 protein InsA,-
puuR,b1299,1361911,1362468,DNA-binding transcriptional repressor PuuR,+
qmcA,b0489,514856,515773,PHB domain-containing protein QmcA,-
aaeX,b3242,3389134,3389337,DUF1656 domain-containing protein AaeX,-
dmlA,b1800,1881912,1882997,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),+
hspQ,b0966,1028404,1028721,heat shock protein HspQ,-
motA,b1890,1976252,1977139,motility protein A,-
hofN,b3394,3521433,3521972,DNA utilization protein HofN,-
blc,b4149,4377189,4377722,outer membrane lipoprotein Blc,-
glyT,b3978,4175673,4175747,tRNA-Gly(UCC),+
blr,b4409,1704551,1704676,&beta;-lactam resistance protein,+
yjhQ,b4307,4533239,4533784,KpLE2 phage-like element; putative acetyltransferase TopAI antitoxin YjhQ,-
yaiY,b0379,399025,399333,DUF2755 domain-containing inner membrane protein YaiY,-
yjgX,b4575,4499593,4500791,"KpLE2 phage-like element; putative phosphoethanolamine transferase YjgX, N-terminal fragment",-
nrdA,b2234,2344865,2347150,ribonucleoside-diphosphate reductase 1 subunit &alpha;,+
slt,b4392,4630733,4632670,soluble lytic murein transglycosylase,+
wzxC,b2046,2118680,2120158,colanic acid repeat unit flippase,-
smg,b3284,3431991,3432464,DUF494 domain-containing protein Smg,-
rnhA,b0214,235535,236002,ribonuclease HI,-
ycaN,b0900,948660,949568,putative DNA-binding transcriptional regulator YcaN,-
umpH,b0675,699574,700326,UMP phosphatase,-
ecpC,b0291,306807,309332,putative fimbrial usher protein EcpC,-
mdtD,b2077,2161464,2162879,putative multidrug efflux pump MdtD,+
yphA,b2543,2673346,2673768,putative inner membrane protein,+
ftnA,b1905,1988716,1989213,ferritin iron storage protein,+
mocA,b2877,3015160,3015738,molybdenum cofactor cytidylyltransferase,+
argL,b4766,290275,290370,putative translational regulatory protein ArgL,-
paaA,b1388,1453927,1454856,"phenylacetyl-CoA 1,2-epoxidase, monooxygenase subunit",+
tauA,b0365,385232,386194,taurine ABC transporter periplasmic binding protein,+
yhdH,b3253,3403484,3404458,acrylyl-CoA reductase,+
yfjP,b2632,2767710,2768573,CP4-57 prophage; putative GTP-binding protein YfjP,+
ydbA,b4492,,,"putative outer membrane protein, N-terminal fragment",+
cdd,b2143,2231844,2232728,cytidine/deoxycytidine deaminase,+
yahO,b0329,346484,346759,DUF1471 domain-containing protein YahO,+
dauA,b1206,1259124,1260803,aerobic C4-dicarboxylate transporter DauA,-
drpB,b1963,2033119,2033421,cell division protein DrpB,-
rnc,b2567,2703383,2704063,RNase III,-
pspF,b1303,1366935,1367912,DNA-binding transcriptional dual regulator PspF,-
aceK-int,b4830,4218879,4218963,small RNA AceK-int,+
tehA,b1429,1500573,1501565,tellurite resistance protein,+
yidF,b3674,3855114,3855611,uncharacterized protein YidF,-
sspA,b3229,3376782,3377420,stringent starvation protein A,-
yfcC,b2298,2417081,2418601,putative transporter YfcC,+
yecF,b1915,1995818,1996042,DUF2594 domain-containing protein YecF,+
csgG,b1037,1100851,1101684,curli secretion channel,-
chaB,b1217,1272119,1272349,putative cation transport regulator ChaB,+
gutM,b2706,2828621,2828980,DNA-binding transcriptional activator GutM,+
yrdA,b3279,3429236,3429790,hexapeptide repeats-containing protein YrdA,+
argY,b2693,2818198,2818274,tRNA-Arg(ACG),-
pdeF,b2503,2626695,2628938,cyclic di-GMP phosphodiesterase PdeF,-
yffL,b2443,2560257,2560898,CPZ-55 prophage; uncharacterized protein YffL,+
yaaY,b0024,21181,21399,DUF2575 domain-containing protein YaaY,+
b4700,b4700,607734,607792,,+
bcsQ,b3534,3695233,3695985,cellulose biosynthesis protein,-
yiaC,b3550,3713652,3714092,peptidyl-lysine <i>N</i>-acetyltransferase YiaC,+
clpP,b0437,456677,457300,ATP-dependent Clp protease proteolytic subunit,+
corA,b3816,4001426,4002376,Ni<sup>2+</sup>/Co<sup>2+</sup>/Mg<sup>2+</sup> transporter,+
yodB,b1974,2042368,2042898,putative cytochrome b561 YodB,+
pnp,b3164,3309033,3311168,polynucleotide phosphorylase,-
yihL,b3872,4060447,4061157,putative DNA-binding transcriptional regulator YihL,+
pyrB,b4245,4471460,4472395,aspartate carbamoyltransferase catalytic subunit,-
narS,b4813,1279337,1279520,putative small regulatory RNA NarS,+
setC,b3659,3836953,3838137,putative arabinose exporter,+
mntP,b1821,1905688,1906254,Mn2+ exporter,+
fecA,b4291,4514353,4516677,ferric citrate outer membrane transporter,-
rcsF,b0196,219591,219995,sensor lipoprotein RcsF,-
xylR,b3569,3734979,3736157,DNA-binding transcriptional dual regulator XylR,+
yhaC,b3121,3268415,3269602,uncharacterized protein YhaC,+
potC,b1124,1182826,1183620,spermidine preferential ABC transporter membrane subunit PotC,-
yeeW,b2006,2077940,2078134,CP4-44 prophage; putative uncharacterized protein YeeW,+
yghX,b4658,3146856,3147691,putative hydrolase fragment,-
citC,b0618,650798,651856,citrate lyase synthetase,-
ychJ,b1233,1288674,1289132,NTF2-like domain-containing protein YchJ,-
rcnA,b2106,2185917,2186741,Ni<sup>2+</sup>/Co<sup>2+</sup> exporter,+
ymfM,b1148,1203822,1204160,e14 prophage; cell division inhibitor YmfM,+
rbn,b2268,2381608,2382525,ribonuclease BN,+
nadR,b4390,4627315,4628547,DNA-binding transcriptional repressor/NMN adenylyltransferase NadR,+
ytiD,b4721,4556654,4556797,protein YtiD,+
emrB,b2686,2812616,2814154,multidrug efflux pump membrane subunit EmrB,+
insAB4,,1049833,1050530,InsAB' transposase,+
yfaX,b2248,2361429,2362211,putative DNA-binding transcriptional regulator YfaX,-
gfcA,b0987,1049439,1049744,threonine-rich inner membrane protein GfcA,-
yghJ,b4466,3114550,3119112,putative lipoprotein YghJ,-
cnu,b1625,1704949,1705164,H-NS- and StpA-binding protein,+
poxB,b0871,909331,911049,pyruvate oxidase,-
ynaI,b1330,1394891,1395922,small conductance mechanosensitive channel YnaI,-
ygiB,b3037,3179744,3180415,DUF1190 domain-containing protein YgiB,+
cmoM,b0921,973537,974322,tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase,+
ybaM,b0466,490110,490271,DUF2496 domain-containing protein YbaM,-
ydfR,b1555,1640054,1640365,Qin prophage; protein YdfR,-
yriB,b4792,3640643,3640696,protein YriB,-
efeU,b4490,1081356,1082185,inactive ferrous iron permease EfeU,+
ppsR,b1703,1787445,1788278,phosphoenolpyruvate synthetase regulatory protein,+
mltB,b2701,2824491,2825576,membrane-bound lytic murein transglycosylase B,-
arnE,b4544,2372557,2372892,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnE subunit,+
ygiC,b3038,3180421,3181581,putative acid&mdash;amine ligase YgiC,+
rnb,b1286,1346978,1348912,RNase II,-
ulaR,b4191,4417698,4418453,DNA-binding transcriptional repressor UlaR,-
yfdV,b2372,2489242,2490186,putative transport protein YfdV,-
yrbN,b4685,3307853,3307933,uncharacterized protein YrbN,-
secA,b0098,108279,110984,protein translocation ATPase,+
ybhM,b0787,820793,821506,Bax1-I family protein YbhM,+
ftnB,b1902,1986925,1987428,putative ferritin-like protein,+
eutE,b2455,2570348,2571751,acetaldehyde dehydrogenase (acetylating) EutE,-
ycgR,b1194,1243793,1244527,flagellar brake protein YcgR,-
exuT,b3093,3245224,3246522,hexuronate transporter,+
ygiQ,b4469,3158927,3161146,radical SAM superfamily protein YgiQ,-
tusA,b3470,3608751,3608996,sulfur transfer protein TusA,-
ynaA,b1368,1426454,1427482,Rac prophage; putative prophage tail length tape measure domain-containing protein YnaA,+
ygeF,b2850,2990554,2991043,protein YgeF,+
rimI,b4373,4608185,4608631,protein <i>N</i>-acetyltransferase RimI,+
yedE,b1929,2008277,2009482,putative selenium transporter YedE,+
lamB,b4036,4247971,4249311,maltose outer membrane channel / phage lambda receptor protein,+
ftsN,b3933,4122380,4123339,cell division protein FtsN,-
rnhB,b0183,204493,205089,RNase HII,+
kdgR,b1827,1909308,1910099,DNA-binding transcriptional repressor KdgR,-
yajI,b0412,432312,432851,putative lipoprotein YajI,-
dtpA,b1634,1712769,1714271,dipeptide/tripeptide:H<sup>+</sup> symporter DtpA,+
yegU,b2099,2180095,2181099,putative ADP-ribosylglycohydrolase YegU,+
abrB,b0715,746723,747769,putative regulator,-
glpG,b3424,3560622,3561452,rhomboid protease GlpG,-
ycfH,b1100,1156777,1157574,putative metal-dependent hydrolase YcfH,+
malZ,b0403,422518,424332,maltodextrin glucosidase,+
baxL,b4794,3737177,3737203,putative translational regulatory protein BaxL,-
mscM,b4159,4386047,4389370,miniconductance mechanosensitive channel MscM,-
yajD,b0410,430605,430952,HNH nuclease family protein YajD,+
yfhL,b2562,2699663,2699923,putative 4Fe-4S cluster-containing protein YfhL,+
uspD,b3923,4113293,4113721,universal stress protein D,+
ymfR,b1150,1205549,1205731,e14 prophage; IPR020297 domain-containing protein YmfR,+
mgtT,b4775,1622741,1622845,protein MgtT,+
b4247,b4247,4472513,4472845,,+
