Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b0728,sucC,-0.61926,DOWN,1369.7448505974048,1474.1229800851834,GO:0008150//GO:0008152,biological_process//metabolic process,--,--,GO:0003824//GO:0003674,catalytic activity//molecular_function,"K01903 succinyl-CoA synthetase beta subunit [EC:6.2.1.5] | (RefSeq) sucC; succinyl-CoA synthetase, beta subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b0728,succinyl-CoA synthetase%2C beta subunit,-104.37812948777855,92.0,1025.0,1117.0
b0831,gsiC,-1.9636,DOWN,18.31076979543015,46.009154540679,GO:0051179//GO:0051234//GO:0008150//GO:0006810,localization//establishment of localization//biological_process//transport,GO:0016020//GO:0005575,membrane//cellular_component,--,--,K13890 glutathione transport system permease protein | (RefSeq) gsiC; glutathione ABC transporter permease,http://www.genome.jp/dbget-bin/www_bget?eco:b0831,glutathione ABC transporter permease,-27.69838474524885,949.0,169.0,1118.0
b0426,yajQ,-0.78113,DOWN,472.27382821029346,519.8574224959114,--,--,GO:0044464//GO:0005575//GO:0032991//GO:0043234//GO:0005622//GO:0000178//GO:0005623//GO:0044424,cell part//cellular_component//macromolecular complex//protein complex//intracellular//exosome (RNase complex)//cell//intracellular part,GO:0003723//GO:0097159//GO:0005488//GO:0003676//GO:0003674//GO:1901363,RNA binding//organic cyclic compound binding//binding//nucleic acid binding//molecular_function//heterocyclic compound binding,"K09767 cyclic-di-GMP-binding protein | (RefSeq) yajQ; phage Phi6 host factor, ATP/GTP binding protein",http://www.genome.jp/dbget-bin/www_bget?eco:b0426,phage Phi6 host factor%2C ATP/GTP binding protein,-47.58359428561789,247.0,871.0,1118.0
b0803,ybiI,-1.2741,DOWN,86.1296525974151,135.07052979808333,--,--,--,--,GO:0043167//GO:0046914//GO:0005488//GO:0008270//GO:0043169//GO:0003674//GO:0046872,ion binding//transition metal ion binding//binding//zinc ion binding//cation binding//molecular_function//metal ion binding,no KO assigned | (RefSeq) ybiI; DksA-type zinc finger protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0803,DksA-type zinc finger protein,-48.940877200668226,658.0,460.0,1118.0
b1766,sppA,-1.3598,DOWN,67.438680771259,113.256843066618,GO:0006508//GO:0044238//GO:0071704//GO:0008152//GO:0043170//GO:0019538//GO:0008150,proteolysis//primary metabolic process//organic substance metabolic process//metabolic process//macromolecule metabolic process//protein metabolic process//biological_process,GO:0016021//GO:0016020//GO:0044425//GO:0005575//GO:0031224,integral component of membrane//membrane//membrane part//cellular_component//intrinsic component of membrane,GO:0003824//GO:0003674//GO:0016787//GO:0008233,catalytic activity//molecular_function//hydrolase activity//peptidase activity,K04773 protease IV [EC:3.4.21.-] | (RefSeq) sppA; protease IV (signal peptide peptidase),http://www.genome.jp/dbget-bin/www_bget?eco:b1766,protease IV (signal peptide peptidase),-45.818162295359,714.0,406.0,1120.0
b3202,rpoN,-0.89291,DOWN,280.596441291725,345.1279852444723,GO:0043170//GO:0006355//GO:0006725//GO:0006352//GO:0031326//GO:0046483//GO:0044237//GO:0050789//GO:0010556//GO:0044260//GO:0032774//GO:0016070//GO:0010467//GO:0060255//GO:1903506//GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:1901576//GO:0008150//GO:0097659//GO:0006807//GO:0006351//GO:0019222//GO:0006139//GO:0044249//GO:0009889//GO:0019438//GO:0080090//GO:0034641//GO:0009058//GO:0071704//GO:0044238//GO:0031323//GO:1901362//GO:0065007//GO:1901360//GO:0019219//GO:0010468//GO:0009987//GO:0009059//GO:0034645//GO:0090304//GO:0034654//GO:2001141//GO:0051252//GO:0044271//GO:0008152,"macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//DNA-templated transcription, initiation//regulation of cellular biosynthetic process//heterocycle metabolic process//cellular metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//cellular macromolecule metabolic process//RNA biosynthetic process//RNA metabolic process//gene expression//regulation of macromolecule metabolic process//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//organic substance biosynthetic process//biological_process//nucleic acid-templated transcription//nitrogen compound metabolic process//transcription, DNA-templated//regulation of metabolic process//nucleobase-containing compound metabolic process//cellular biosynthetic process//regulation of biosynthetic process//aromatic compound biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//biosynthetic process//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//regulation of nucleobase-containing compound metabolic process//regulation of gene expression//cellular process//macromolecule biosynthetic process//cellular macromolecule biosynthetic process//nucleic acid metabolic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//metabolic process",GO:0043657//GO:0044217//GO:0018995//GO:0044215//GO:0005575//GO:0044216,host cell//other organism part//host//other organism//cellular_component//other organism cell,GO:0005488//GO:0097159//GO:0000988//GO:0016779//GO:0001071//GO:0003700//GO:0003899//GO:0016987//GO:0000996//GO:0016772//GO:1901363//GO:0034062//GO:0003824//GO:0003674//GO:0016740//GO:0000990//GO:0003676//GO:0003677,"binding//organic cyclic compound binding//transcription factor activity, protein binding//nucleotidyltransferase activity//nucleic acid binding transcription factor activity//transcription factor activity, sequence-specific DNA binding//DNA-directed RNA polymerase activity//sigma factor activity//core DNA-dependent RNA polymerase binding promoter specificity activity//transferase activity, transferring phosphorus-containing groups//heterocyclic compound binding//RNA polymerase activity//catalytic activity//molecular_function//transferase activity//transcription factor activity, core RNA polymerase binding//nucleic acid binding//DNA binding","K03092 RNA polymerase sigma-54 factor | (RefSeq) rpoN; RNA polymerase, sigma 54 (sigma N) factor",http://www.genome.jp/dbget-bin/www_bget?eco:b3202,RNA polymerase%2C sigma 54 (sigma N) factor,-64.53154395274731,354.0,767.0,1121.0
b2937,speB,-0.84784,DOWN,332.816854873788,381.4423240080023,--,--,--,--,GO:0003674//GO:0046872//GO:0043169//GO:0043167//GO:0005488,molecular_function//metal ion binding//cation binding//ion binding//binding,K01480 agmatinase [EC:3.5.3.11] | (RefSeq) speB; agmatinase,http://www.genome.jp/dbget-bin/www_bget?eco:b2937,agmatinase,-48.62546913421431,316.0,806.5,1122.5
b0970,yccA,-0.71826,DOWN,691.09375409168,745.8369272857122,GO:0098660//GO:0055085//GO:0000041//GO:0015675//GO:0006811//GO:0034220//GO:1902578//GO:0009987//GO:0098655//GO:0030001//GO:0044763//GO:0044765//GO:0035444//GO:0044699//GO:0006812//GO:0098662//GO:0008150//GO:0006810//GO:0051179//GO:0051234,inorganic ion transmembrane transport//transmembrane transport//transition metal ion transport//nickel cation transport//ion transport//ion transmembrane transport//single-organism localization//cellular process//cation transmembrane transport//metal ion transport//single-organism cellular process//single-organism transport//nickel cation transmembrane transport//single-organism process//cation transport//inorganic cation transmembrane transport//biological_process//transport//localization//establishment of localization,GO:0016021//GO:0016020//GO:0031224//GO:0005575//GO:0044425,integral component of membrane//membrane//intrinsic component of membrane//cellular_component//membrane part,GO:0015099//GO:0046873//GO:0022891//GO:0046872//GO:0003674//GO:0022857//GO:0015075//GO:0046915//GO:0022890//GO:0043167//GO:0005488//GO:0022892//GO:0005215//GO:0008324//GO:0043169,nickel cation transmembrane transporter activity//metal ion transmembrane transporter activity//substrate-specific transmembrane transporter activity//metal ion binding//molecular_function//transmembrane transporter activity//ion transmembrane transporter activity//transition metal ion transmembrane transporter activity//inorganic cation transmembrane transporter activity//ion binding//binding//substrate-specific transporter activity//transporter activity//cation transmembrane transporter activity//cation binding,"K19416 modulator of FtsH protease | (RefSeq) yccA; Modulator of FtsH protease, inner membrane protein",http://www.genome.jp/dbget-bin/www_bget?eco:b0970,Modulator of FtsH protease%2C inner membrane protein,-54.74317319403224,181.0,943.0,1124.0
b1854,pykA,-0.83284,DOWN,345.911278935797,399.214105961603,GO:0044723//GO:0006082//GO:0043436//GO:0046128//GO:0009056//GO:0019693//GO:0009179//GO:0006725//GO:0046483//GO:0044237//GO:0044699//GO:0006163//GO:0009116//GO:0016052//GO:0006796//GO:1901135//GO:0072524//GO:1901564//GO:0006732//GO:0006807//GO:0046031//GO:0006793//GO:0044712//GO:0008150//GO:0006757//GO:0009119//GO:0006090//GO:0019637//GO:0009185//GO:0019752//GO:0009205//GO:0006139//GO:0009117//GO:0006096//GO:0016310//GO:0009161//GO:0046034//GO:0009150//GO:0009199//GO:0009126//GO:0034641//GO:0009132//GO:0006733//GO:0042278//GO:0005975//GO:0009123//GO:0046939//GO:0044238//GO:0071704//GO:0044724//GO:0009167//GO:0072521//GO:1901360//GO:0006091//GO:1901575//GO:0019362//GO:0009987//GO:0006165//GO:0009141//GO:0044281//GO:0032787//GO:0044763//GO:0046496//GO:0009135//GO:0044710//GO:0055086//GO:0051186//GO:0009259//GO:0008152//GO:1901657//GO:0006753//GO:0009144,single-organism carbohydrate metabolic process//organic acid metabolic process//oxoacid metabolic process//purine ribonucleoside metabolic process//catabolic process//ribose phosphate metabolic process//purine ribonucleoside diphosphate metabolic process//cellular aromatic compound metabolic process//heterocycle metabolic process//cellular metabolic process//single-organism process//purine nucleotide metabolic process//nucleoside metabolic process//carbohydrate catabolic process//phosphate-containing compound metabolic process//carbohydrate derivative metabolic process//pyridine-containing compound metabolic process//organonitrogen compound metabolic process//coenzyme metabolic process//nitrogen compound metabolic process//ADP metabolic process//phosphorus metabolic process//single-organism catabolic process//biological_process//ATP generation from ADP//ribonucleoside metabolic process//pyruvate metabolic process//organophosphate metabolic process//ribonucleoside diphosphate metabolic process//carboxylic acid metabolic process//purine ribonucleoside triphosphate metabolic process//nucleobase-containing compound metabolic process//nucleotide metabolic process//glycolytic process//phosphorylation//ribonucleoside monophosphate metabolic process//ATP metabolic process//purine ribonucleotide metabolic process//ribonucleoside triphosphate metabolic process//purine nucleoside monophosphate metabolic process//cellular nitrogen compound metabolic process//nucleoside diphosphate metabolic process//oxidoreduction coenzyme metabolic process//purine nucleoside metabolic process//carbohydrate metabolic process//nucleoside monophosphate metabolic process//nucleotide phosphorylation//primary metabolic process//organic substance metabolic process//single-organism carbohydrate catabolic process//purine ribonucleoside monophosphate metabolic process//purine-containing compound metabolic process//organic cyclic compound metabolic process//generation of precursor metabolites and energy//organic substance catabolic process//pyridine nucleotide metabolic process//cellular process//nucleoside diphosphate phosphorylation//nucleoside triphosphate metabolic process//small molecule metabolic process//monocarboxylic acid metabolic process//single-organism cellular process//nicotinamide nucleotide metabolic process//purine nucleoside diphosphate metabolic process//single-organism metabolic process//nucleobase-containing small molecule metabolic process//cofactor metabolic process//ribonucleotide metabolic process//metabolic process//glycosyl compound metabolic process//nucleoside phosphate metabolic process//purine nucleoside triphosphate metabolic process,--,--,GO:0043167//GO:0005488//GO:0016773//GO:0000287//GO:0043169//GO:0016772//GO:0030955//GO:0004743//GO:0003674//GO:0003824//GO:0016740//GO:0046872//GO:0031420,"ion binding//binding//phosphotransferase activity, alcohol group as acceptor//magnesium ion binding//cation binding//transferase activity, transferring phosphorus-containing groups//potassium ion binding//pyruvate kinase activity//molecular_function//catalytic activity//transferase activity//metal ion binding//alkali metal ion binding",K00873 pyruvate kinase [EC:2.7.1.40] | (RefSeq) pykA; pyruvate kinase II,http://www.genome.jp/dbget-bin/www_bget?eco:b1854,pyruvate kinase II,-53.30282702580604,302.0,823.0,1125.0
b1639,mliC,-1.362,DOWN,64.1633390795918,110.04785585326941,--,--,--,--,--,--,"no KO assigned | (RefSeq) mliC; inhibitor of c-type lysozyme, membrane-bound; putative lipoprotein",http://www.genome.jp/dbget-bin/www_bget?eco:b1639,inhibitor of c-type lysozyme%2C membrane-bound%3B putative lipoprotein,-45.88451677367762,724.0,404.0,1128.0
b1247,oppF,-0.69358,DOWN,740.2100823257895,823.2899498913617,GO:0019438//GO:0009889//GO:0080090//GO:0034641//GO:0006777//GO:0044267//GO:0044249//GO:0015833//GO:0043545//GO:1901362//GO:0065007//GO:0071702//GO:1901360//GO:0009058//GO:0071705//GO:0044238//GO:0071704//GO:0031323//GO:0090407//GO:0044765//GO:0009108//GO:0034654//GO:2001141//GO:0090304//GO:0034645//GO:0051189//GO:0044271//GO:0051252//GO:0009987//GO:0010468//GO:1902578//GO:0019219//GO:0009059//GO:0008152//GO:0019720//GO:0051186//GO:0042886//GO:0006725//GO:0031326//GO:1901566//GO:0043170//GO:0006355//GO:0044260//GO:0032774//GO:0044699//GO:0019538//GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0018130//GO:1901564//GO:0006732//GO:0051171//GO:0050794//GO:0032324//GO:2000112//GO:0016070//GO:0006796//GO:0060255//GO:0010467//GO:1903506//GO:0051188//GO:0006139//GO:0051234//GO:0051179//GO:0019637//GO:0006810//GO:0008150//GO:1901576//GO:0006793//GO:0097659//GO:0019222//GO:0006351//GO:0006807,"aromatic compound biosynthetic process//regulation of biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//Mo-molybdopterin cofactor biosynthetic process//cellular protein metabolic process//cellular biosynthetic process//peptide transport//molybdopterin cofactor metabolic process//organic cyclic compound biosynthetic process//biological regulation//organic substance transport//organic cyclic compound metabolic process//biosynthetic process//nitrogen compound transport//primary metabolic process//organic substance metabolic process//regulation of cellular metabolic process//organophosphate biosynthetic process//single-organism transport//coenzyme biosynthetic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//nucleic acid metabolic process//cellular macromolecule biosynthetic process//prosthetic group metabolic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//cellular process//regulation of gene expression//single-organism localization//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process//metabolic process//Mo-molybdopterin cofactor metabolic process//cofactor metabolic process//amide transport//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//organonitrogen compound biosynthetic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular macromolecule metabolic process//RNA biosynthetic process//single-organism process//protein metabolic process//cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//heterocycle biosynthetic process//organonitrogen compound metabolic process//coenzyme metabolic process//regulation of nitrogen compound metabolic process//regulation of cellular process//molybdopterin cofactor biosynthetic process//regulation of cellular macromolecule biosynthetic process//RNA metabolic process//phosphate-containing compound metabolic process//regulation of macromolecule metabolic process//gene expression//regulation of nucleic acid-templated transcription//cofactor biosynthetic process//nucleobase-containing compound metabolic process//establishment of localization//localization//organophosphate metabolic process//transport//biological_process//organic substance biosynthetic process//phosphorus metabolic process//nucleic acid-templated transcription//regulation of metabolic process//transcription, DNA-templated//nitrogen compound metabolic process",--,--,GO:0016772//GO:0032553//GO:0030554//GO:0016818//GO:0036094//GO:0017076//GO:1901363//GO:0000166//GO:0003924//GO:0016462//GO:0016887//GO:0016740//GO:0008134//GO:0003824//GO:0003674//GO:0016301//GO:0005524//GO:0004386//GO:0016817//GO:0032561//GO:0003676//GO:0016787//GO:0003724//GO:0003723//GO:0005488//GO:0097159//GO:0043167//GO:0001882//GO:0097367//GO:0035639//GO:0005525//GO:0005515//GO:0032559//GO:0017111//GO:0032549//GO:0032555//GO:0019001//GO:1901265//GO:0001883//GO:0043168//GO:0032550,"transferase activity, transferring phosphorus-containing groups//ribonucleotide binding//adenyl nucleotide binding//hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides//small molecule binding//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//GTPase activity//pyrophosphatase activity//ATPase activity//transferase activity//transcription factor binding//catalytic activity//molecular_function//kinase activity//ATP binding//helicase activity//hydrolase activity, acting on acid anhydrides//guanyl ribonucleotide binding//nucleic acid binding//hydrolase activity//RNA helicase activity//RNA binding//binding//organic cyclic compound binding//ion binding//nucleoside binding//carbohydrate derivative binding//purine ribonucleoside triphosphate binding//GTP binding//protein binding//adenyl ribonucleotide binding//nucleoside-triphosphatase activity//ribonucleoside binding//purine ribonucleotide binding//guanyl nucleotide binding//nucleoside phosphate binding//purine nucleoside binding//anion binding//purine ribonucleoside binding",K10823 oligopeptide transport system ATP-binding protein | (RefSeq) oppF; oligopeptide ABC transporter ATPase,http://www.genome.jp/dbget-bin/www_bget?eco:b1247,oligopeptide ABC transporter ATPase,-83.07986756557227,167.0,963.0,1130.0
b1263,trpD,-3.0316,DOWN,4.364698867456395,20.681614510525833,GO:1901605//GO:0006082//GO:0043436//GO:0044699//GO:0006520//GO:0044237//GO:1901564//GO:0019752//GO:0006807//GO:0008150//GO:0044238//GO:0071704//GO:0044281//GO:0044763//GO:0009064//GO:0009987//GO:0008152//GO:0044710//GO:0006541,alpha-amino acid metabolic process//organic acid metabolic process//oxoacid metabolic process//single-organism process//cellular amino acid metabolic process//cellular metabolic process//organonitrogen compound metabolic process//carboxylic acid metabolic process//nitrogen compound metabolic process//biological_process//primary metabolic process//organic substance metabolic process//small molecule metabolic process//single-organism cellular process//glutamine family amino acid metabolic process//cellular process//metabolic process//single-organism metabolic process//glutamine metabolic process,--,--,GO:0016787//GO:0016757//GO:0016740//GO:0003824//GO:0003674,"hydrolase activity//transferase activity, transferring glycosyl groups//transferase activity//catalytic activity//molecular_function",K13497 anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18] | (RefSeq) trpD; fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase,http://www.genome.jp/dbget-bin/www_bget?eco:b1263,fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase,-16.316915643069436,1071.0,59.0,1130.0
b0237,pepD,-0.81294,DOWN,360.63075505106747,414.7319144083306,GO:0008152//GO:0008150,metabolic process//biological_process,--,--,GO:0003824//GO:0003674//GO:0016787,catalytic activity//molecular_function//hydrolase activity,K01270 dipeptidase D [EC:3.4.13.-] | (RefSeq) pepD; aminoacyl-histidine dipeptidase (peptidase D),http://www.genome.jp/dbget-bin/www_bget?eco:b0237,aminoacyl-histidine dipeptidase (peptidase D),-54.10115935726316,291.0,841.0,1132.0
b1448,mnaT,-1.5411,DOWN,41.1364176888467,82.0012694530884,--,--,--,--,GO:0016746//GO:0008080//GO:0016410//GO:0003674//GO:0003824//GO:0016740//GO:0016407//GO:0016747,"transferase activity, transferring acyl groups//N-acetyltransferase activity//N-acyltransferase activity//molecular_function//catalytic activity//transferase activity//acetyltransferase activity//transferase activity, transferring acyl groups other than amino-acyl groups",K03823 phosphinothricin acetyltransferase [EC:2.3.1.183] | (RefSeq) mnaT; methionine N-acyltransferase; L-amino acid N-acyltransferase,http://www.genome.jp/dbget-bin/www_bget?eco:b1448,methionine N-acyltransferase%3B L-amino acid N-acyltransferase,-40.8648517642417,805.0,327.0,1132.0
b0468,ybaN,-1.4596,DOWN,54.289809422074754,90.88827372130231,--,--,--,--,--,--,K09790 uncharacterized protein | (RefSeq) ybaN; DUF454 family inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0468,DUF454 family inner membrane protein,-36.59846429922756,773.0,360.5,1133.5
b3205,yhbJ,-1.0243,DOWN,161.8739330450095,222.44431875652734,--,--,--,--,GO:0036094//GO:0017076//GO:1901363//GO:0000166//GO:0016772//GO:0032553//GO:0030554//GO:0003677//GO:0003676//GO:0016740//GO:0003674//GO:0003824//GO:0005524//GO:0016301//GO:0097159//GO:0005488//GO:0001882//GO:0043167//GO:0035639//GO:0097367//GO:0043168//GO:0032550//GO:0032559//GO:0032555//GO:0032549//GO:1901265//GO:0001883,"small molecule binding//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//transferase activity, transferring phosphorus-containing groups//ribonucleotide binding//adenyl nucleotide binding//DNA binding//nucleic acid binding//transferase activity//molecular_function//catalytic activity//ATP binding//kinase activity//organic cyclic compound binding//binding//nucleoside binding//ion binding//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//anion binding//purine ribonucleoside binding//adenyl ribonucleotide binding//purine ribonucleotide binding//ribonucleoside binding//nucleoside phosphate binding//purine nucleoside binding","K06958 RNase adapter protein RapZ | (RefSeq) yhbJ; adaptor protein for GlmZ/GlmY sRNA decay, glucosamine-6-phosphate-regulated; NTPase",http://www.genome.jp/dbget-bin/www_bget?eco:b3205,adaptor protein for GlmZ/GlmY sRNA decay%2C glucosamine-6-phosphate-regulated%3B NTPase,-60.570385711517844,497.0,638.0,1135.0
b0881,clpS,-1.3121,DOWN,76.2127409199918,117.64731599767566,GO:0019538//GO:0043170//GO:0009056//GO:0009057//GO:0008150//GO:0030163//GO:0044238//GO:0071704//GO:1901575//GO:0008152,protein metabolic process//macromolecule metabolic process//catabolic process//macromolecule catabolic process//biological_process//protein catabolic process//primary metabolic process//organic substance metabolic process//organic substance catabolic process//metabolic process,--,--,--,--,K06891 ATP-dependent Clp protease adaptor protein ClpS | (RefSeq) clpS; regulatory protein for ClpA substrate specificity,http://www.genome.jp/dbget-bin/www_bget?eco:b0881,regulatory protein for ClpA substrate specificity,-41.43457507768386,702.0,433.0,1135.0
b2146,preT,-1.7828,DOWN,26.680549413921398,54.297704783179164,GO:0044710//GO:0019354//GO:0051186//GO:0034660//GO:0008152//GO:0046156//GO:0033013//GO:0009987//GO:0042168//GO:0044711//GO:0006778//GO:0032787//GO:0044271//GO:0044281//GO:0090304//GO:0033014//GO:0044763//GO:0044238//GO:0071704//GO:0009058//GO:1901360//GO:0046148//GO:1901362//GO:0006629//GO:0006396//GO:0044249//GO:0044255//GO:0034641//GO:0019438//GO:0006807//GO:0008150//GO:1901576//GO:0006631//GO:0019752//GO:0006783//GO:0006139//GO:0051188//GO:0016070//GO:0010467//GO:0008033//GO:0018130//GO:1901564//GO:0044237//GO:0046483//GO:0006399//GO:0044699//GO:0044260//GO:0034470//GO:0006779//GO:0055114//GO:1901566//GO:0042440//GO:0006082//GO:0043170//GO:0043436//GO:0006725,single-organism metabolic process//siroheme biosynthetic process//cofactor metabolic process//ncRNA metabolic process//metabolic process//siroheme metabolic process//tetrapyrrole metabolic process//cellular process//heme metabolic process//single-organism biosynthetic process//porphyrin-containing compound metabolic process//monocarboxylic acid metabolic process//cellular nitrogen compound biosynthetic process//small molecule metabolic process//nucleic acid metabolic process//tetrapyrrole biosynthetic process//single-organism cellular process//primary metabolic process//organic substance metabolic process//biosynthetic process//organic cyclic compound metabolic process//pigment biosynthetic process//organic cyclic compound biosynthetic process//lipid metabolic process//RNA processing//cellular biosynthetic process//cellular lipid metabolic process//cellular nitrogen compound metabolic process//aromatic compound biosynthetic process//nitrogen compound metabolic process//biological_process//organic substance biosynthetic process//fatty acid metabolic process//carboxylic acid metabolic process//heme biosynthetic process//nucleobase-containing compound metabolic process//cofactor biosynthetic process//RNA metabolic process//gene expression//tRNA processing//heterocycle biosynthetic process//organonitrogen compound metabolic process//cellular metabolic process//heterocycle metabolic process//tRNA metabolic process//single-organism process//cellular macromolecule metabolic process//ncRNA processing//porphyrin-containing compound biosynthetic process//oxidation-reduction process//organonitrogen compound biosynthetic process//pigment metabolic process//organic acid metabolic process//macromolecule metabolic process//oxoacid metabolic process//cellular aromatic compound metabolic process,--,--,GO:0003857//GO:0016616//GO:0043115//GO:0008677//GO:0016628//GO:0003824//GO:0016627//GO:0003674//GO:0016614//GO:0050662//GO:1901363//GO:0000166//GO:0048037//GO:0036094//GO:0051287//GO:0016491//GO:0043168//GO:0050660//GO:1901265//GO:0071949//GO:0043167//GO:0097159//GO:0005488,"3-hydroxyacyl-CoA dehydrogenase activity//oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor//precorrin-2 dehydrogenase activity//2-dehydropantoate 2-reductase activity//oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor//catalytic activity//oxidoreductase activity, acting on the CH-CH group of donors//molecular_function//oxidoreductase activity, acting on CH-OH group of donors//coenzyme binding//heterocyclic compound binding//nucleotide binding//cofactor binding//small molecule binding//NAD binding//oxidoreductase activity//anion binding//flavin adenine dinucleotide binding//nucleoside phosphate binding//FAD binding//ion binding//organic cyclic compound binding//binding","K17722 dihydropyrimidine dehydrogenase (NAD+) subunit PreT [EC:1.3.1.1] | (RefSeq) preT; dihydropyrimidine dehydrogenase, NADH-dependent, subunit N",http://www.genome.jp/dbget-bin/www_bget?eco:b2146,dihydropyrimidine dehydrogenase%2C NADH-dependent%2C subunit N,-27.617155369257766,912.0,224.0,1136.0
b1203,ychF,-1.0505,DOWN,157.1065620514495,205.2987346369877,GO:0006812//GO:0044699//GO:0070838//GO:0051234//GO:0051179//GO:0006810//GO:0008150//GO:0015684//GO:0006811//GO:0000041//GO:0044765//GO:0030001//GO:1902578//GO:0006826//GO:0072511,cation transport//single-organism process//divalent metal ion transport//establishment of localization//localization//transport//biological_process//ferrous iron transport//ion transport//transition metal ion transport//single-organism transport//metal ion transport//single-organism localization//iron ion transport//divalent inorganic cation transport,GO:0044425//GO:0005575//GO:0031224//GO:0016021//GO:0016020,membrane part//cellular_component//intrinsic component of membrane//integral component of membrane//membrane,GO:0097159//GO:0005488//GO:0001882//GO:0043167//GO:0022890//GO:0046915//GO:0035639//GO:0097367//GO:0005525//GO:0015075//GO:0032549//GO:0032555//GO:0019001//GO:1901265//GO:0001883//GO:0043168//GO:0032550//GO:0008324//GO:0005215//GO:0022892//GO:0032553//GO:0022891//GO:0046873//GO:0036094//GO:0017076//GO:1901363//GO:0000166//GO:0072509//GO:0022857//GO:0003674//GO:0015093//GO:0005381//GO:0032561,organic cyclic compound binding//binding//nucleoside binding//ion binding//inorganic cation transmembrane transporter activity//transition metal ion transmembrane transporter activity//purine ribonucleoside triphosphate binding//carbohydrate derivative binding//GTP binding//ion transmembrane transporter activity//ribonucleoside binding//purine ribonucleotide binding//guanyl nucleotide binding//nucleoside phosphate binding//purine nucleoside binding//anion binding//purine ribonucleoside binding//cation transmembrane transporter activity//transporter activity//substrate-specific transporter activity//ribonucleotide binding//substrate-specific transmembrane transporter activity//metal ion transmembrane transporter activity//small molecule binding//purine nucleotide binding//heterocyclic compound binding//nucleotide binding//divalent inorganic cation transmembrane transporter activity//transmembrane transporter activity//molecular_function//ferrous iron transmembrane transporter activity//iron ion transmembrane transporter activity//guanyl ribonucleotide binding,"K06942 ribosome-binding ATPase | (RefSeq) ychF; catalase inhibitor protein; ATPase, K+-dependent, ribosome-associated",http://www.genome.jp/dbget-bin/www_bget?eco:b1203,catalase inhibitor protein%3B ATPase%2C K+-dependent%2C ribosome-associated,-48.1921725855382,521.0,619.0,1140.0
